"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Theo Ratliff","Theo","Ratliff","theo","ratliff",NA,"r/ratlith01","ratlith01",2005,2011,"687/theo-ratliff",687,"theo-ratliff",NA,NA,NA,"wyoming",NA,NA,"theo-ratliff-1",NA,NA
"Theron Smith","Theron","Smith","theron","smith",NA,"s/smithth01","smithth01",2005,2005,"2181/theron-smith",2181,"theron-smith",NA,NA,NA,"ball-state",NA,NA,"theron-smith-1",NA,NA
"Tierre Brown","Tierre","Brown","tierre","brown",NA,"b/brownti01","brownti01",2005,2005,"1057/tierre-brown",1057,"tierre-brown",NA,NA,NA,"mcneese-state",NA,NA,"tierre-brown-1",NA,NA
"Tim Duncan","Tim","Duncan","tim","duncan",NA,"d/duncati01","duncati01",2005,2016,"215/tim-duncan",215,"tim-duncan",NA,NA,NA,"wake-forest",NA,NA,"tim-duncan-1",NA,NA
"Tim Thomas","Tim","Thomas","tim","thomas",NA,"t/thomati01","thomati01",2005,2010,"847/tim-thomas",847,"tim-thomas",NA,NA,NA,"villanova",NA,NA,"tim-thomas-1",NA,NA
"Tom Gugliotta","Tom","Gugliotta","tom","gugliotta",NA,"g/guglito01","guglito01",2005,2005,"287/tom-gugliotta",287,"tom-gugliotta",NA,NA,NA,"north-carolina-state",NA,NA,"tom-gugliotta-1",NA,NA
"Toni Kukoc","Toni","Kukoc","toni","kukoc",NA,"k/kukocto01","kukocto01",2005,2006,"446/toni-kukoc",446,"toni-kukoc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Allen","Tony","Allen","tony","allen",NA,"a/allento01","allento01",2005,2018,"2367/tony-allen",2367,"tony-allen",2003,NA,"Oklahoma State","oklahoma-state",NA,NA,"tony-allen-1",NA,NA
"Tony Battie","Tony","Battie","tony","battie",NA,"b/battito01","battito01",2005,2012,"45/tony-battie",45,"tony-battie",NA,NA,NA,"texas-tech",NA,NA,"tony-battie-1",NA,NA
"Tony Bobbitt","Tony","Bobbitt","tony","bobbitt",NA,"b/bobbito01","bobbito01",2005,2005,"2454/tony-bobbitt",2454,"tony-bobbitt",NA,NA,NA,"cincinnati",NA,NA,"tony-bobbitt-1",NA,NA
"Tony Delk","Tony","Delk","tony","delk",NA,"d/delkto01","delkto01",2005,2006,"198/tony-delk",198,"tony-delk",NA,NA,NA,"kentucky",NA,NA,"tony-delk-1",NA,NA
"Tony Massenburg","Tony","Massenburg","tony","massenburg",NA,"m/masseto01","masseto01",2005,2005,"519/tony-massenburg",519,"tony-massenburg",NA,NA,NA,"maryland",NA,NA,"tony-massenburg-1",NA,NA
"Tony Parker","Tony","Parker","tony","parker",NA,"p/parketo01","parketo01",2005,2019,"1015/tony-parker",1015,"tony-parker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Torraye Braggs","Torraye","Braggs","torraye","braggs",NA,"b/braggto01","braggto01",2005,2005,"89/torraye-braggs",89,"torraye-braggs",NA,NA,NA,"xavier",NA,NA,"torraye-braggs-1",NA,NA
"Tracy McGrady","Tracy","McGrady","tracy","mcgrady",NA,"m/mcgratr01","mcgratr01",2005,2012,"532/tracy-mcgrady",532,"tracy-mcgrady",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Best","Travis","Best","travis","best",NA,"b/besttr01","besttr01",2005,2005,"58/travis-best",58,"travis-best",NA,NA,"Georgia Tech","georgia-tech",NA,NA,"travis-best-1",NA,NA
"Travis Outlaw","Travis","Outlaw","travis","outlaw",NA,"o/outlatr01","outlatr01",2005,2014,"2015/travis-outlaw",2015,"travis-outlaw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremaine Fowlkes","Tremaine","Fowlkes","tremaine","fowlkes",NA,"f/fowlktr01","fowlktr01",2005,2005,"251/tremaine-fowlkes",251,"tremaine-fowlkes",NA,NA,"University of California",NA,"Fresno","fresno-state","tremaine-fowlkes-1",NA,NA
"Trenton Hassell","Trenton","Hassell","trenton","hassell",NA,"h/hassetr01","hassetr01",2005,2010,"998/trenton-hassell",998,"trenton-hassell",NA,NA,"Austin Peay","austin-peay",NA,NA,"trenton-hassell-1",NA,NA
"Trevor Ariza","Trevor","Ariza","trevor","ariza",NA,"a/arizatr01","arizatr01",2005,2019,"2426/trevor-ariza",2426,"trevor-ariza",NA,NA,"UCLA",NA,NA,NA,"trevor-ariza-1",NA,NA
